dataset_name,algorithm,train_seed,num_updates,final_train_loss,eval_episodes,avg_return,success_rate,avg_episode_length,checkpoint_path,status,notes
envA_v2_small_narrow_medium,bc,7,5000,0.479040,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed7.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,8,5000,0.471453,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed8.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,9,5000,0.483316,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed9.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,10,5000,0.498175,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed10.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,11,5000,0.503145,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed11.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,12,5000,0.463537,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed12.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,13,5000,0.520749,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed13.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,14,5000,0.518849,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed14.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,15,5000,0.468516,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed15.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,16,5000,0.473095,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed16.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,17,5000,0.447338,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed17.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,18,5000,0.440359,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed18.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,bc,19,5000,0.462236,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed19.pt,completed,one-hot 900-d; full main experiment; frozen BC_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,0,5000,0.609902,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed0.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,1,5000,0.608590,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed1.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,2,5000,0.591714,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed2.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,3,5000,0.620481,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed3.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,4,5000,0.618630,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed4.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,5,5000,0.591870,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed5.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,6,5000,0.598073,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed6.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,7,5000,0.603813,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed7.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_narrow_medium,cql,8,5000,0.597515,100,0.2700,1.0000,73.00,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed8.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
