dataset_name,quality_bin,algorithm,train_seed,source_summary_type,dataset_norm_state_cov,dataset_norm_sa_cov,dataset_state_entropy,dataset_avg_return,dataset_success_rate,run_avg_return,run_success_rate,run_avg_episode_length,ood_action_rate_step,support_overlap_rate_unique_sa,eval_sa_coverage_wrt_dataset_support,support_distance_proxy,q_over_rate,q_over_mean_excess,checkpoint_path,status,notes
envA_v2_small_wide_medium,medium,cql,19,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3900,1.0000,61.00,0.000000,1.000000,0.110909,0.000000,0.011029,0.007643,artifacts\training_main\envA_v2_small_wide_medium_cql_seed19.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,0,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed0.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,1,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed1.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,2,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed2.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,3,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed3.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,4,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed4.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,5,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed5.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,6,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed6.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,7,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed7.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,bc,8,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,,,artifacts\training_main\envA_v2_small_narrow_medium_bc_seed8.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
