dataset_name,algorithm,train_seed,num_updates,final_actor_loss,final_q_loss,final_value_loss,eval_episodes,avg_return,success_rate,avg_episode_length,checkpoint_path,status,notes
envA_v2_quality_medium_wide50k,iql,5,5000,0.520941,0.000416,0.000153,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed5.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,6,5000,0.519228,0.000278,0.000139,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed6.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,7,5000,0.574749,0.000346,0.000231,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed7.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,8,5000,0.523858,0.000230,0.000244,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed8.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,9,5000,0.481789,0.000230,0.000100,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed9.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,10,5000,0.543648,0.000315,0.000264,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed10.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,11,5000,0.524181,0.000321,0.000298,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed11.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,12,5000,0.533755,0.000366,0.000147,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed12.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,13,5000,0.585562,0.000769,0.000215,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed13.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,14,5000,0.497000,0.000305,0.000168,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed14.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,15,5000,0.474118,0.000214,0.000117,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed15.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,16,5000,0.585020,0.000271,0.000328,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed16.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,17,5000,0.515879,0.000147,0.000177,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed17.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,18,5000,0.561274,0.000271,0.000257,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed18.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_medium_wide50k,iql,19,5000,0.525394,0.000203,0.000123,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_medium_wide50k_iql_seed19.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=medium; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,0,5000,0.313068,0.000288,0.000097,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed0.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,1,5000,0.289162,0.000348,0.000083,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed1.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,2,5000,0.323973,0.000325,0.000125,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed2.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,3,5000,0.297507,0.000306,0.000087,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed3.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,4,5000,0.311928,0.000313,0.000091,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed4.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,5,5000,0.252677,0.000310,0.000047,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed5.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,6,5000,0.219593,0.000140,0.000062,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed6.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,7,5000,0.298076,0.000193,0.000083,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed7.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,8,5000,0.282001,0.000153,0.000076,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed8.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,9,5000,0.248094,0.000151,0.000048,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed9.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,10,5000,0.267546,0.000285,0.000081,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed10.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,11,5000,0.285427,0.000205,0.000057,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed11.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,12,5000,0.236021,0.000431,0.000097,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed12.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,13,5000,0.247852,0.000238,0.000102,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed13.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,14,5000,0.291053,0.000313,0.000062,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed14.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,15,5000,0.288236,0.000242,0.000051,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed15.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,16,5000,0.237632,0.000210,0.000131,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed16.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,17,5000,0.321383,0.000271,0.000113,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed17.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,18,5000,0.278927,0.000292,0.000090,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed18.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_expert_wide50k,iql,19,5000,0.272020,0.000137,0.000062,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_expert_wide50k_iql_seed19.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=expert; frozen IQL config from R1
envA_v2_quality_mixed_wide50k,iql,0,5000,0.839380,0.000315,0.000212,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_mixed_wide50k_iql_seed0.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=mixed; frozen IQL config from R1
envA_v2_quality_mixed_wide50k,iql,1,5000,0.798576,0.000169,0.000170,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_mixed_wide50k_iql_seed1.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=mixed; frozen IQL config from R1
envA_v2_quality_mixed_wide50k,iql,2,5000,0.839454,0.000240,0.000170,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_mixed_wide50k_iql_seed2.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=mixed; frozen IQL config from R1
envA_v2_quality_mixed_wide50k,iql,3,5000,0.735479,0.000461,0.000077,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_mixed_wide50k_iql_seed3.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=mixed; frozen IQL config from R1
envA_v2_quality_mixed_wide50k,iql,4,5000,0.871106,0.000236,0.000132,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_mixed_wide50k_iql_seed4.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=mixed; frozen IQL config from R1
envA_v2_quality_mixed_wide50k,iql,5,5000,0.819112,0.000263,0.000092,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_mixed_wide50k_iql_seed5.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=mixed; frozen IQL config from R1
envA_v2_quality_mixed_wide50k,iql,6,5000,0.786874,0.000485,0.000130,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_mixed_wide50k_iql_seed6.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=mixed; frozen IQL config from R1
envA_v2_quality_mixed_wide50k,iql,7,5000,0.875224,0.000445,0.000136,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_mixed_wide50k_iql_seed7.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=mixed; frozen IQL config from R1
envA_v2_quality_mixed_wide50k,iql,8,5000,0.690221,0.000169,0.000106,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_mixed_wide50k_iql_seed8.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=mixed; frozen IQL config from R1
envA_v2_quality_mixed_wide50k,iql,9,5000,0.825684,0.000293,0.000103,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_mixed_wide50k_iql_seed9.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=mixed; frozen IQL config from R1
envA_v2_quality_mixed_wide50k,iql,10,5000,0.771486,0.000183,0.000060,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_mixed_wide50k_iql_seed10.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=mixed; frozen IQL config from R1
envA_v2_quality_mixed_wide50k,iql,11,5000,0.791593,0.000330,0.000214,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_mixed_wide50k_iql_seed11.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=mixed; frozen IQL config from R1
envA_v2_quality_mixed_wide50k,iql,12,5000,0.862750,0.000173,0.000077,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_mixed_wide50k_iql_seed12.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=mixed; frozen IQL config from R1
envA_v2_quality_mixed_wide50k,iql,13,5000,0.869453,0.000821,0.000224,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_mixed_wide50k_iql_seed13.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=mixed; frozen IQL config from R1
envA_v2_quality_mixed_wide50k,iql,14,5000,0.885142,0.000356,0.000102,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_mixed_wide50k_iql_seed14.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=mixed; frozen IQL config from R1
